No,ID,Bölüm,Üniversite,Yıl,Puan Türü,Açıklama,İl,Tür,Sıralama (2024),Sıralama (2023),Sıralama (2022),Sıralama (2021),Sıralama (2020),Sıralama (2019),Sıralama (2018),Sıralama (2017),Sıralama (2016),Sıralama (2015),Kontenjan (2024),Kontenjan (2023),Kontenjan (2022),Kontenjan (2021),Kontenjan (2020),Kontenjan (2019),Kontenjan (2018),Kontenjan (2017),Kontenjan (2016),Kontenjan (2015),Toplam Tercih (2023),Toplam Tercih (2022),Toplam Tercih (2021),Toplam Tercih (2020),"Yerleşen (E, 2023)","Yerleşen (K, 2023)","Yerleşen (Mzn, 2023)","Yerleşen (E, 2022)","Yerleşen (K, 2022)","Yerleşen (Mzn, 2022)","Yerleşen (E, 2021)","Yerleşen (K, 2021)","Yerleşen (Mzn, 2021)"
1139,104110333,Rehberlik ve Psikolojik Danışmanlık,GAZİ ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,,ANKARA,DEVLET,60650,56438,72256,64561,41563,50902,52200,32531,29226,22567,60,80,80,80,80,80,80,67,65,67,2242,1603,2,2323,11,71,34,16,66,40,19,63,40
1140,105590134,Elektronik ve Haberleşme Mühendisliği,İSTANBUL TEKNİK ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (KKTC Uyruklu),İSTANBUL,DEVLET,60724,93699,67011,0,,,,,,,1,2,1,1,,,,,,,12,13,6,,2,0,0,1,0,0,0,0,0
1141,202590232,Siyaset Bilimi ve Kamu Yönetimi,İSTANBUL BİLGİ ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),İSTANBUL,VAKIF,60801,37795,73672,223892,24582,0,,,,,5,5,5,7,7,,,,,,169,655,79,164,0,6,3,1,4,2,2,5,2
1142,205750157,Yönetim Bilişim Sistemleri,TÜRK HAVA KURUMU ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,(İngilizce) (Burslu),ANKARA,VAKIF,60915,65630,104272,127707,156985,0,,,,,4,3,5,4,5,,,,,,399,455,280,286,3,1,3,2,3,2,1,3,2
1143,112490448,Uçak Gövde ve Motor Bakımı,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,4,SAYISAL,,ESKİŞEHİR,DEVLET,61007,68975,75211,76560,72241,0,,,,,65,60,60,60,60,,,,,,1807,1633,931,2707,54,8,26,54,8,35,51,11,43
1144,105510229,Çevre Mühendisliği,İSTANBUL TEKNİK ÜNİVERSİTESİ,4,SAYISAL,,İSTANBUL,DEVLET,61009,65885,72365,80975,82558,84711,83800,72354,60677,52672,50,60,70,70,70,70,60,62,60,57,799,939,830,864,25,37,26,26,46,42,20,52,27
1145,200210688,Makine Mühendisliği,ATILIM ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),ANKARA,VAKIF,61136,53499,69826,78852,72142,57754,57600,51872,53344,50660,6,6,7,7,6,5,5,5,5,5,309,277,216,177,6,1,3,4,3,4,5,2,3
1146,105511024,Gemi İnşaatı ve Gemi Makineleri Mühendisliği,İSTANBUL TEKNİK ÜNİVERSİTESİ,4,SAYISAL,(İngilizce) (Burslu),İSTANBUL,DEVLET,61201,60381,96072,124639,180400,107735,123000,91357,88539,67108,5,7,10,11,11,5,5,5,5,5,318,185,139,41,6,1,3,7,3,3,10,1,7
1147,300511849,Eczacılık,YAKIN DOĞU ÜNİVERSİTESİ,5,SAYISAL,(İngilizce) (Burslu),LEFKOŞA,,61421,61784,65438,49832,48626,50403,44000,36611,38979,0,6,10,9,9,11,11,8,9,10,10,379,210,395,408,2,8,5,5,4,5,5,4,5
1148,100711134,Yönetim Bilişim Sistemleri,AKDENİZ ÜNİVERSİTESİ,4,EŞİT AĞIRLIK,,ANTALYA,DEVLET,61583,61753,98214,122579,149646,191210,231000,199196,224085,0,70,60,60,60,60,60,60,62,60,,2454,3211,2,2802,31,32,38,46,16,37,42,20,40
